id,type,name
1,Sports,Badminton
2,Sports,Basketball
3,Sports,Dragonboat Team
4,Sports,Floorball
5,Sports,Netball
6,Sports,Soccer
7,Sports,Squash
8,Sports,Table Tennis
9,Sports,Tchoukball
10,Sports,Tennis
11,Sports,Touch Rugby
12,Sports,Volleyball
13,Aesthetics,Chinese Cultural Society
14,Aesthetics,Chinese Orchestra
15,Aesthetics,Choir
16,Aesthetics,Dance Society
17,Aesthetics,English Drama Club
18,Aesthetics,Guzheng Ensemble
19,Aesthetics,Photographic Society
20,Aesthetics,Symphonic Band
21,Clubs & Societies,AEP Club
22,Clubs & Societies,AVA Club
23,Clubs & Societies,Biz Club
24,Clubs & Societies,Channel News Nanyang
25,Clubs & Societies,Chinese Literary Club
26,Clubs & Societies,Red Cross Youth (Nanyang Junior College Chapter)
27,Clubs & Societies,Interact Club
28,Clubs & Societies,Gym Club
29,Clubs & Societies,Malay Cultural Society
30,Clubs & Societies,Nanyang Debaters and Orators (NYDO)
31,Clubs & Societies,Outdoor Activities Club
32,Clubs & Societies,Robotics Club
33,Clubs & Societies,The Drum (Media Resource Library)
34,SIG,Acoustic Movement
35,SIG,Chinese Debate
36,SIG,Diabolo
37,SIG,European Society
38,SIG,Green Alliance
39,SIG,HACAS (History &amp; Current Affairs Society)
40,SIG,Hanja
41,SIG,J-fire
42,SIG,Korzy
43,SIG,Mathematics Club
44,SIG,Ministry of Recreational Games
45,SIG,Nanyang Astronomer’s Club (NYAstro)
46,SIG,Nanyang Calligraphy and Lettering (NYCal)
47,SIG,Nanyang Law Society
48,SIG,Nanyang&nbsp;Musicians&nbsp;Club
49,SIG,Nanyang S.Lab
50,SIG,Nanyang Strings Ensemble (NYSE)
51,SIG,NY Alchemy
52,SIG,NYArts
53,SIG,NY Chess Club
54,SIG,NYCubers
55,SIG,NYMagic
56,SIG,NYpianists
57,SIG,NY Voices
58,SIG,NY Writer’s Circle
59,SIG,Paws On Parade
